Property Overview,Area,BHK,Locality,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Society,Car parking,Bathroom,Ownership,Price(L),Builder
3 BHK Villa,225 sqyrd carpet area,3 ,Thaltej,Ready to Move ,Nan,Resale ,Furnished ,East ,"Garden/Park, Main Road ",Nan,1 Covered ,3 ,Freehold ,290.0,Arham Property Solution
2 BHK Apartment,85 sqyrd carpet area,2 ,Bodakdev,Ready to Move ,2 out of 4 floors floor,Resale ,Furnished ,West ,"Garden/Park, Main Road ",Nan,1 Covered ,2 ,Freehold ,60.0,Times Property Solution
2 BHK Apartment,847 sqft carpet area,2 ,"Savvy Swaraj,Jagatpur",Ready to Move ,3 out of 13 floors floor,Resale ,Unfurnished ,North - East ,"Garden/Park, Pool, Main Road ",Savvy Swaraj ,1 Open ,2 ,Freehold ,44.0,The Propking Realty
2 BHK Apartment,780 sqft carpet area,2 ,"Gala Aria,South Bopal, Bopal",Ready to Move ,6 out of 12 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",Gala Aria ,1 Covered ,2 ,Freehold ,54.0,Jain Estate Management
3 BHK Apartment,984 sqft carpet area,3 ,"Scarlet Heights,Satellite",Ready to Move ,6 out of 13 floors floor,Resale ,Unfurnished ,East ,"Garden/Park, Main Road ",Scarlet Heights ,"1 Covered, 2 Open ",3 ,Freehold ,91.0,The Property Advisor
3 BHK Apartment,Nan,3 ,"Casa Vyoma,Vastrapur",Ready to Move ,7 out of 13 floors floor,Resale ,Unfurnished ,East ,Garden/Park ,Casa Vyoma ,1 Covered ,3 ,Freehold ,100.0,Vision Space Management
2 BHK Apartment,Nan,2 ,"Sarvesh,Ranip",Nan,Nan,New Property ,Unfurnished ,Nan,Nan,Sarvesh ,Nan,2 ,Nan,38.6,Bakeri Group
3 BHK Apartment,Nan,3 ,"Suryam Ananta,Vastral",Possession by Jun '24 ,Nan,New Property ,Unfurnished ,Nan,Nan,Suryam Ananta ,Nan,3 ,Nan,45.7,Suryam Group
1 BHK Apartment,Nan,1 ,"Rashmi Vihar,Narolgam",Ready to Move ,Nan,New Property ,Unfurnished ,Nan,Nan,Rashmi Vihar ,Nan,1 ,Nan,13.5,Nitesh Vasava
3 BHK Apartment,Nan,3 ,"Gala Eternia,Thaltej",Ready to Move ,7 out of 14 floors floor,New Property ,Unfurnished ,Nan,Nan,Gala Eternia ,Nan,3 ,Nan,111.00000000000001,Gala Group
